Algorithm,Train_Score,Test_Score,Train_Rmse,Test_Rmse,Train_Mae,Test_Mae,Train_R2,Test_R2
RandomForestRegressor_baseline,0.9975444516215034,0.9845569987466579,1124.9571412771102,2830.219155789171,438.4511222026034,1147.7170898987376,0.9975444516215034,0.9845569987466579
DecisionTreeRegressor_baseline,0.9994902374666965,0.9755752480705829,512.5611503928955,3559.3385103276287,39.95435047743701,1233.443565275332,0.9994902374666965,0.9755752480705829
XGBRegressor_baseline,0.9771185818437402,0.9746641895773795,3434.0229910012768,3625.1135374939104,1998.2773252943864,2084.2510748698865,0.9771185818437402,0.9746641895773795
GradientBoostingRegressor_baseline,0.9523530921400618,0.9515800067476877,4955.404264831161,5011.486618102045,2963.434080720414,2988.487791479097,0.9523530921400618,0.9515800067476877
LinearRegression_baseline,0.9064934386132271,0.9048137018354182,6941.9706436980505,7026.538518706849,4539.2513277548915,4590.242635330267,0.9064934386132271,0.9048137018354182
Ridge_baseline,0.9064934376389053,0.9048136252354796,6941.9706798651005,7026.541345964139,4539.204066571817,4590.195982274308,0.9064934376389053,0.9048136252354796
Lasso_baseline,0.9064932363120326,0.9048123989499994,6941.978153161411,7026.586607262818,4537.481576756795,4588.521927081215,0.9064932363120326,0.9048123989499994
